stimulus_id,utterance,relations
scene0679_00-curtain-2-12-11,the inner set of curtains,airplane-curtains
scene0391_00-desk-6-18-16-19-20-21-22,the second desk on your left hand side as you walk through the door with the exit sign above it,"desk-door,desk-exit sign"
scene0327_00-kitchen_cabinet-4-15-0-47-48,the cabinets to the right of the refrigerator,cabinets-refrigerator
scene0002_00-storage_bin-2-54-53,the storage bin on the left hand side as you are facing the cabinet,storage bin-cabinet
scene0301_00-box-3-10-2-26,the larger box on the bottom at the end of the sectional,box
scene0074_00-pillow-4-5-21-22-23,the foremost pillow in the grouping between the two jackets hanging,"pillow-rug,air hockey table-coat"
scene0619_00-box-4-18-14-15-19,the box tucked away in the corner of the room,box-bed
scene0333_00-box-2-18-19,the front box on the desk,box-desk
scene0058_00-desk-2-28-10,the desk with one chair in front of it,desk-chair
scene0141_00-file_cabinet-4-20-18-40-57,the file cabinet in between the computer monitors,file cabinet-screen
scene0352_00-pillow-2-17-16,the pillow leaning on the arm of the couch,"pillow-couch,couch-handrail"
scene0330_00-pillow-5-14-10-12-13-15,the front pillow on the right hand side of the couch,pillow-couch
scene0582_00-pillow-3-6-46-47,the pillow that is closest to the wall on the left hand side of the couch,"pillow-couch,pillow-wall"
scene0238_00-box-4-8-34-36-39,the box  beneath a smaller box  under the whiteboard,"box-air hockey table,kitchen counter-whiteboard"
scene0017_00-monitor-4-13-14-15-16,the monitor on the side of the desk with the artwork painting on the wall and on the end near the window,"desk-sofa,monitor-desk,painting-wall,monitor-window"
scene0352_00-pillow-2-16-17,the larger of the two pillows on the couch in front of the other pillow,"pillow-couch,pillow-pillow"
scene0262_00-plant-5-20-1-19-21-25,the plant closest to the blue office chair,plant-office chair
scene0154_00-cart-5-11-2-3-4-12,the cart that is in the far left hand corner of the room,cart-bed
scene0331_00-radiator-2-23-30,the radiator beneath the window,radiator-window
scene0505_00-desk-6-1-0-4-5-6-37,the desk in the corner by the window and under the shelves,"desk-window,desk-shelf"
scene0265_00-towel-6-9-8-17-18-28-30,the towel hanging above the tub and on the left hand side,towel-bathtub
scene0706_00-lamp-2-18-15,the lamp to the left if you are lying in the bed  the lamp closest to the easy chair ,"lamp-armchair,lamp-bed"
scene0002_00-lamp-2-52-51,the lamp on the upper level ,lamp-airplane
scene0006_00-lamp-2-15-38,the lamp between the two beds ,lamp-bed
scene0006_00-lamp-2-38-15,the lamp that is on the desk  not the lamp that is between the beds ,"lamp-desk,lamp-bed"
scene0008_00-lamp-3-25-16-31,the lamp next to the window ,lamp-window
scene0008_00-lamp-3-31-16-25,the lamp next to the couch ,lamp-couch
scene0024_00-lamp-2-57-58,the lamp on the table with the plants  not the lamp in the far corner ,"table-potted plant,lamp-table"
scene0024_00-lamp-2-58-57,the lamp that is to the left if you are sitting on the couch  not the lamp on the table ,"lamp-couch,lamp-table"
scene0085_00-lamp-3-24-5-6,the lamp underneath the black phone ,lamp-telephone
scene0085_00-lamp-3-5-6-24,the lamp on the wall  closer to the curtains ,"wall-curtains,lamp-wall"
scene0085_00-lamp-3-6-5-24,the lamp next to the chair ,lamp-chair
scene0107_00-lamp-3-12-9-21,the lamp closest to the recliner ,lamp-recliner chair
scene0107_00-lamp-3-21-9-12,the lamp not next to the bed ,lamp-bed
scene0107_00-lamp-3-9-12-21,the lamp not next to the recliner ,lamp-recliner chair
scene0137_00-lamp-2-16-24,the lamp sitting between the two beds ,lamp-bed
scene0137_00-lamp-2-24-16,the lamp to the left of the desk  not the lamp between the beds ,lamp-desk
scene0143_00-lamp-3-10-14-18,the lamp behind the red chair ,lamp-chair
scene0143_00-lamp-3-14-10-18,the lamp to the left if you are lying on the bed  the lamp on the end table ,"lamp-bed,lamp-end table"
scene0143_00-lamp-3-18-10-14,the lamp to the left if you are lying on the bed  the lamp that is not over an end table ,"lamp-bed,lamp-end table"
scene0155_00-lamp-4-6-7-8-9,the lamp closest to the whiteboard on the right side ,lamp-whiteboard
scene0155_00-lamp-4-7-6-8-9,the lamp that is closest the the wastepaper bin  the lamp that is closest to the door ,"lamp-bin,lamp-door"
scene0155_00-lamp-4-9-6-7-8,facing the whiteboard  the lamp siting in the bottom right corner ,lamp-whiteboard
scene0160_00-lamp-2-14-13,the lamp that is not in the corner of the room ,lamp
scene0167_00-lamp-2-10-15,the lamp sitting next to the ottoman ,lamp-ottoman
scene0167_00-lamp-2-15-10,the lamp to the left if you are sitting on the shorter couch  the lamp with more things under it ,"lamp-couch,lamp-airplane"
scene0178_00-lamp-5-10-8-9-18-19,the lamp that is above the writing desk near the window ,"lamp-desk,desk-window"
scene0178_00-lamp-5-8-9-10-18-19,it is the lamp across from the beds and nearest the fireplace ,"lamp-bed,lamp-fireplace"
scene0178_00-lamp-5-9-8-10-18-19,the lamp to the left of the bed the man is sitting in  the freestanding lamp closest to the window ,"lamp-window,lamp-bed,pillow-bed"
scene0184_00-lamp-2-16-19,the lamp sitting next to the door ,lamp-door
scene0184_00-lamp-2-19-16,the lamp that is to the left if you are lying on the bed ,lamp-bed
scene0209_00-lamp-3-3-30-38,the lamp between the beds  the lamp above the nightstand ,"lamp-bed,lamp-nightstand"
scene0209_00-lamp-3-38-3-30,the lamp that is between the curtains  not the lamp that is between the beds ,"lamp-bed,lamp-curtains"
scene0213_00-lamp-2-13-18,the lamp sitting between the two grey chairs ,lamp-chair
scene0213_00-lamp-2-18-13,the lamp to the left if you are sitting on the couch  the lamp nearest the couch ,lamp-couch
scene0229_00-lamp-2-11-12,the lamp sitting on the table ,lamp-table
scene0235_00-lamp-5-10-8-9-11-32,the lamp high on the wall  next to the mirror ,"lamp-mirror,lamp-wall"
scene0235_00-lamp-5-11-8-9-10-32,the lamp next to the tall lamp against the wall ,"lamp-lamp,lamp-wall"
scene0235_00-lamp-5-32-8-9-10-11,the short lamp  sitting next to the laptop ,lamp-laptop
scene0235_00-lamp-5-9-8-10-11-32,the lamp next to the ac ,lamp-armchair
scene0259_00-lamp-2-15-6,the lamp next to the window ,lamp-window
scene0259_00-lamp-2-6-15,the lamp farther away from the window ,lamp-window
scene0266_00-lamp-2-21-25,the lamp sitting on the brown table ,lamp-table
scene0266_00-lamp-2-25-21,the lamp on the white table ,lamp-table
scene0279_00-lamp-4-19-21-22-25,the lamp on the table next to the window ,"lamp-table,table-window"
scene0279_00-lamp-4-21-19-22-25,the lamp near the bed  the lamp not on a desk  the lamp to the right if you were laying on the bed ,"lamp-desk,lamp-bed"
scene0279_00-lamp-4-22-19-21-25,the lamp sitting in the corner of the room  away from the door  next to the bed ,"lamp-bed,bed-bed"
scene0279_00-lamp-4-25-19-21-22,the lamp behind the couch ,lamp-couch
scene0282_00-lamp-2-16-20,the floor lamp  not the lamp on the dresser ,lamp-dresser
scene0282_00-lamp-2-20-16,the lamp on the dresser ,lamp-dresser
scene0286_00-lamp-2-19-20,the lamp to the right if you are lying on the bed ,lamp-bed
scene0286_00-lamp-2-20-19,the lamp that is to the left if you are lying in the bed  the lamp near the books ,"lamp-bed,lamp-books"
scene0296_00-lamp-2-19-48,the lamp between the beds  the lamp on the end table ,"lamp-bed,lamp-end table"
scene0296_00-lamp-2-48-19,the lamp over the chair  not the lamp between the beds ,"lamp-bed,lamp-chair"
scene0312_00-lamp-2-16-7,the lamp next to the tv ,lamp-tv
scene0312_00-lamp-2-7-16,the lamp next to the green couch  the one that is on the shorter table ,"lamp-couch,couch-table"
scene0315_00-lamp-2-4-5,the lamp that is over the main table and is closest to the cabinets ,"lamp-cabinets,lamp-air hockey table"
scene0315_00-lamp-2-5-4,the lamp closest to the couch ,lamp-couch
scene0340_00-lamp-3-28-31-39,the lamp between the two beds ,lamp-bed
scene0340_00-lamp-3-31-28-39,the lamp sitting on the floor next to the curtains ,"lamp-floor,lamp-curtains"
scene0340_00-lamp-3-39-28-31,the lamp not between the curtains ,lamp-curtains
scene0361_00-lamp-4-4-5-6-7,the lamp over the bright pink book  if you face the perpendicular bookshelf   it is the near lamp on the right ,"lamp-bookshelf,lamp-book"
scene0361_00-lamp-4-5-4-6-7,facing the bookcase  the lamp in the upper right corner ,lamp-bookshelf
scene0361_00-lamp-4-6-4-5-7,standing  facing the perpendicular bookshelf  it is the closest lamp on the left ,lamp-bookshelf
scene0361_00-lamp-4-7-4-5-6,facing the bookcase  the lamp in the upper right corner ,lamp-bookshelf
scene0362_00-lamp-2-21-28,the lamp sitting on the white table ,lamp-table
scene0362_00-lamp-2-28-21,the lamp sitting next to the couch ,lamp-couch
scene0450_00-lamp-2-12-9,the lamp farther away from the blue backpack ,lamp-backpack
scene0450_00-lamp-2-9-12,the lamp to the left if you are sitting on the couch ,lamp-couch
scene0467_00-lamp-2-1-2,the lamp to the left if you are sitting on the couch ,lamp-couch
scene0467_00-lamp-2-2-1,the lamp next to the television ,lamp-tv
scene0477_00-lamp-2-35-9,the lamp on the right  closest to the exit door ,lamp-door
scene0477_00-lamp-2-9-35,the lamp on the left ,lamp-person
scene0499_00-lamp-2-47-48,the lamp nearest to the table  not the lamp over the sofa chair ,"lamp-sofa chair,lamp-table"
scene0499_00-lamp-2-48-47,the lamp that is above the easy chair  not the lamp that is above the table ,"lamp-armchair,lamp-table"
scene0504_00-lamp-2-10-11,the lamp on the lower level ,lamp
scene0504_00-lamp-2-11-10,the lamp on the second level ,lamp-changing station
scene0507_00-lamp-2-12-9,the lamp furthest from the couch  the lamp without pink flowers underneath ,"lamp-couch,lamp-flowerpot"
scene0507_00-lamp-2-9-12,the lamp closest to the couch  the lamp with pink flowers underneath ,"lamp-couch,lamp-plant"
scene0536_00-lamp-2-14-18,if you are sitting on the couch it is the lamp to the right  it is the lamp nearest a corner ,"lamp-floor,lamp-couch"
scene0536_00-lamp-2-18-14,the lamp to the left if you are sitting on the couch  the lamp furthest from a corner of the wall ,"lamp-couch,lamp-wall"
scene0537_00-lamp-2-14-6,the lamp that is on top of the shelving unit  not the lamp on the end table ,"lamp-shelf,lamp-end table"
scene0537_00-lamp-2-6-14,the lamp that is between the two chairs  not the lamp hanging from the ceiling ,lamp-chair
scene0560_00-lamp-2-9-26,the lamp on the taller night stand  the lamp nearer the two doors and the shelf ,"lamp-shelf,lamp-nightstand,nightstand-doors"
scene0640_00-lamp-2-1-2,the lamp next to the bed ,lamp-bed
scene0640_00-lamp-2-2-1,the lamp over the desk ,lamp-desk
scene0642_00-lamp-2-17-29,the lamp on the black table ,lamp-table
scene0642_00-lamp-2-29-17,the lamp that is nearest the window  not the lamp that is between the two beds ,"lamp-window,lamp-bed"
scene0674_00-lamp-2-14-4,the lamp not sitting on a table ,lamp-table
scene0674_00-lamp-2-4-14,the lamp sitting on the table ,lamp-table
scene0677_00-lamp-2-21-27,the lamp that is over the desk  not the lamp that is near the window  between the curtains ,"lamp-desk,lamp-curtains,lamp-window"
scene0677_00-lamp-2-27-21,the lamp between the curtains ,lamp-curtains
scene0679_00-lamp-4-18-6-19-38,the lamp next to the bed  farthest away from other lamps ,lamp-bed
scene0679_00-lamp-4-19-6-18-38,the lamp to the left if you are lying on the bed  the lamp above the end table with the phone on it ,"end table-telephone,lamp-bed,lamp-end table"
scene0679_00-lamp-4-38-6-18-19,the lamp sitting behind the recliner ,lamp-recliner chair
scene0679_00-lamp-4-6-18-19-38,the lamp sitting next to the television ,lamp-tv
scene0688_00-lamp-2-13-31,the lamp sitting near the bed ,lamp-bed
scene0688_00-lamp-2-31-13,the lamp in the closet ,lamp-closet
scene0698_00-lamp-3-16-17-22,the lamp that is to the left if you are lying on the bed ,lamp-bed
scene0698_00-lamp-3-17-16-22,the lamp that is to the left if you are laying on the bed  the lamp that is closest to the window coverings ,"lamp-blinds,lamp-bed"
scene0698_00-lamp-3-22-16-17,the lamp sitting next to the laptop ,lamp-laptop
scene0706_00-lamp-2-15-18,the lamp not on the head post of the bed ,lamp-bed
scene0074_00-pillow-4-23-5-21-22,the pillow is on the bottom of the shelf with other options over the top,"pillow-shelf,shelf-air hockey table"
scene0074_00-pillow-4-23-5-21-22,looking at the stack of pillows  please select the bottom pillow ,"chair-pillow,pillow-stack of chairs"
scene0074_00-pillow-4-23-5-21-22,the pillow on the very bottom of the shelf with 2 other pillows on top of it ,"pillow-shelf,pillow-pillow"
scene0505_00-desk-6-4-0-1-5-6-37,the desk is in the middle of the room  further from the window  to the right of the entrance,"desk-door,desk-bed,desk-window"
scene0505_00-desk-6-4-0-1-5-6-37,if you walk in the door the desk to your right,desk-door
scene0505_00-desk-6-4-0-1-5-6-37,the desk along the same wall as the door  closest to the door ,"desk-door,desk-wall"
scene0525_00-plant-5-9-10-11-12-62,facing row of plants  it is on far left [not the taller plant] ,"plant-airplane,plant-air hockey table"
scene0525_00-plant-5-9-10-11-12-62,the plant directly next to the long bookshelf that takes over a wall,"plant-bookshelf,bookshelf-wall"
scene0098_00-box-3-1-27-36,of the two stack boxes  choose the top one,air hockey table-boxes of paper
scene0098_00-box-3-1-27-36,the top box on top of the table near the door,"table-box,box-door"
scene0098_00-box-3-1-27-36,to right of door  this smaller box sits on top of larger one ,"box-air hockey table,box-door"
scene0098_00-box-3-1-27-36,next to the door by the door handle side  you will choose the top box on the table,"door-person,box-table"
scene0265_00-towel-6-30-8-9-17-18-28,the towel hangs over the tub,towel-bathtub
scene0265_00-towel-6-30-8-9-17-18-28,choose the towel that is over the edge of the tub  just to the left of the toilet ,"towel-bathtub,towel-toilet"
scene0265_00-towel-6-30-8-9-17-18-28,pick the towel that is in the middle of the tub and toilet,"towel-bathtub,towel-toilet"
scene0668_00-pillow-6-22-16-21-23-29-34,looking at the long couch  pick the pillow that is on the couch  counting from left  second one,pillow-couch
scene0668_00-pillow-6-22-16-21-23-29-34,the pillow is under another pillow in the middle of the sofa,"pillow-pillow,pillow-sofa"
scene0668_00-pillow-6-22-16-21-23-29-34,it is in the middle of the three pillows on the couch ,pillow-couch
scene0120_00-box-5-4-2-3-5-9,from underneath the room  you want the thinnest box in the middle of the other options,box-object
scene0120_00-box-5-4-2-3-5-9,bottom box in the middle and against the wall ,"air hockey table-wall,air hockey table-centerpiece"
scene0120_00-box-5-4-2-3-5-9,the box is completely surround by other boxes,box-box
scene0120_00-box-5-4-2-3-5-9,please select the middle box enclosed by boxes all around,fire alarm-boxes
scene0166_00-bag-5-38-16-36-37-39,its a black bag by the door hanging over a reddish brown bag,"bag-bag,bag-door"
scene0166_00-bag-5-38-16-36-37-39,the backpack on the wall is on the top left of the options,"backpack-object,backpack-wall"
scene0166_00-bag-5-38-16-36-37-39,facing wall with bags on it  it is on the upper left ,wall-bag
scene0166_00-bag-5-38-16-36-37-39,the black bag with white writing that is hanging on the wall close to the door ,"bag-wall,bag-door"
scene0006_00-pillow-6-10-11-12-13-17-18,facing the beds  the top pillow on the right side of the bed closest to the window ,"pillow-bed,bed-window"
scene0006_00-pillow-6-10-11-12-13-17-18,pillow on top of bed that is located closest to the window,"pillow-bed,bed-window"
scene0006_00-pillow-6-10-11-12-13-17-18,looking at the beds  pick the pillow that is on the right bed  on the right above another pillow,"bed-pillow,pillow-bed"
scene0006_00-pillow-6-10-11-12-13-17-18,facing the beds  it is the top pillow on the right side of the right bed ,"pillow-bed,bed-bed"
scene0042_00-bathroom_stall-2-13-14,the bathroom stall that is closest to the sink ,bathroom stall-sink
scene0042_00-bathroom_stall-2-13-14,the stall in the middle of the room,bathroom stall-bed
scene0189_00-office_chair-6-19-16-17-18-20-21,standing in the middle of the room looking at all the chairs  its the chair on the far left side in the back ,"chair-bed,chair-airplane,chair-backpack"
scene0189_00-office_chair-6-19-16-17-18-20-21,in the right corner  the office chair that is at the end of the round table and closest to the red and white walls ,"office chair-wall,office chair-round table"
scene0189_00-office_chair-6-19-16-17-18-20-21,nearest to the whiteboard  the chair in the corner of the room,chair-whiteboard
scene0189_00-office_chair-6-19-16-17-18-20-21,looking at the four chair group  pick the one closest to the tv on the left,"chair-tv,chair-airplane"
scene0120_00-box-5-2-3-4-5-9,the top box in the middle of all the others,"box-centerpiece,box-person"
scene0120_00-box-5-2-3-4-5-9,pick the box that is above another box,box-box
scene0120_00-box-5-2-3-4-5-9,choose the box that is sitting on top of another box in the middle of the room ,box-box
scene0120_00-box-5-2-3-4-5-9,choose the box highest from ground,box-airplane
scene0586_00-trash_can-3-16-8-20,smaller can next to the door,can-door
scene0586_00-trash_can-3-16-8-20,the trash can nearest the door,trash can-door
scene0147_00-pillow-5-2-1-3-21-26,the top pillow next to the brown cabinet,pillow-cabinet
scene0147_00-pillow-5-2-1-3-21-26,it is the pillow on top of the ones in the corner  not the pillows on the bed ,"pillow-chair,pillow-bed"
scene0147_00-pillow-5-2-1-3-21-26,it is the pillow on top of the stack next to the dresser in the corner ,"dresser-object,pillow-stack of cups,stack of chairs-dresser"
scene0147_00-pillow-5-2-1-3-21-26,top pillow near the foot of the bed ,pillow-bed
scene0522_00-cabinet-6-0-1-2-3-4-26,facing washer dryer  it is the upper left double cabinet ,cabinet-clothes dryer
scene0522_00-cabinet-6-0-1-2-3-4-26,the hanging cabinet with two doors near the sink,cabinet-sink
scene0522_00-cabinet-6-0-1-2-3-4-26,when facing the washer and dryer  choose the cabinet with 2 doors in the upper left of the room ,"washing machine-clothes dryer,cabinet-bed"
scene0522_00-cabinet-6-0-1-2-3-4-26,looking at the counter  choose the upper cabinet on the left hand side of the light ,"cabinet-counter,cabinet-light"
scene0668_00-pillow-6-23-16-21-22-29-34,when facing the tv  it is the pillow on the right side that is closest to the tv ,"pillow-air hockey table,pillow-tv"
scene0668_00-pillow-6-23-16-21-22-29-34,rectangular pillow furthest on left on long couch ,pillow-couch
scene0668_00-pillow-6-23-16-21-22-29-34,on the long brown couch  its the brown pillow closest to the wall mounted tv ,"pillow-couch,pillow-tv"
scene0419_00-pillow-6-24-21-23-25-26-36,see the part of the red sofa that is against the wall  choose the checked pillow resting by itself along the back of sofa ,"sofa-wall,pillow-sofa"
scene0419_00-pillow-6-24-21-23-25-26-36,the only pillow facing the television and doorway with a blanket of owls on it,"pillow-tv,pillow-door"
scene0419_00-pillow-6-24-21-23-25-26-36,please select the pillow in the corner of the red sofa  the right most pillow,"sofa-barrier,pillow-sofa"
scene0419_00-pillow-6-24-21-23-25-26-36,this pillow is on your left side when you are facing the couch  and it is closest to the middle of the couch ,pillow-couch
scene0211_00-box-6-20-18-19-21-29-38,choose the box on top of the grey steel cabinet with 5 drawers,"cabinet-drawer,box-cabinet"
scene0211_00-box-6-20-18-19-21-29-38,please select the small brown box on top of the thin grey cabinet,box-cabinet
scene0211_00-box-6-20-18-19-21-29-38,box on top of filing cabinet that has 5 drawers ,"file cabinet-drawer,box-file cabinet"
scene0211_00-box-6-20-18-19-21-29-38,the brown box is on top of the grey file folder cabinet next to the bookshelf near the chalkboard,"file cabinet-bookshelf,file cabinet-blackboard,ping pong table-file cabinet"
scene0008_00-pillow-3-11-12-13,the large gray pillow on the sofa furthest away from the window ,pillow-sofa
scene0008_00-pillow-3-11-12-13,pillow in the corner of the white sofa  the top one,pillow-sofa
scene0008_00-pillow-3-11-12-13,in the middle of the room  it is the largest pillow and closest to the wall on the couch ,"pillow-couch,pillow-wall"
scene0008_00-pillow-3-11-12-13,the larger pillow that is on the sofa that is not next to the window ,pillow-sofa
scene0006_00-pillow-6-13-10-11-12-17-18,bed near window  you want left bottom pillow,"pillow-bed,bed-window"
scene0006_00-pillow-6-13-10-11-12-17-18,facing the two beds  it is the pillow on the left side of the bed on the bottom ,"pillow-bed,bed-bed"
scene0006_00-pillow-6-13-10-11-12-17-18,facing foot of beds  it is the bottom pillow on the left of the right hand bed ,"pillow-bed,bed-bed"
scene0505_00-box-5-53-33-38-52-54,facing brown door with mirror glass  it is the biggest box by that door ,"door-box,door-mirror"
scene0505_00-box-5-53-33-38-52-54,the box that is closest to the brown door ,box-door
scene0505_00-box-5-53-33-38-52-54,the big black box between the door and the couch,"box-door,box-couch"
scene0698_00-curtain-2-0-1,white sheer curtains between two dark curtains ,curtains-curtain
scene0698_00-curtain-2-0-1,choose the white curtain,airplane-curtain
scene0698_00-curtain-2-0-1,pick the smaller white curtain,closet-curtain
scene0698_00-curtain-2-0-1,in the bedroom  you will see a window  on the window are the inner sheer curtains i need you to find   ,"window-curtains,window-bed"
scene0306_00-box-6-23-6-27-33-34-35,the box that is mostly under the bed,box-bed
scene0306_00-box-6-23-6-27-33-34-35,the box is under the bed,box-bed
scene0306_00-box-6-23-6-27-33-34-35,select the only box that is underneath a light colored table ,box-table
scene0306_00-box-6-23-6-27-33-34-35,the box under the table ,box-table
scene0262_00-plant-5-21-1-19-20-25,right most  smallest plant on the window ledge  when facing them ,plant-ledge
scene0262_00-plant-5-21-1-19-20-25,there are three plants on the window sill  select the one on the right side ,"plant-air hockey table,plant-windowsill"
scene0262_00-plant-5-21-1-19-20-25,pick the plant on the right side of the windowsill ,plant-windowsill
scene0505_00-box-5-33-38-52-53-54,the amazon box with arrow on the side near the whiteboard on the desk,"box-airplane,box-whiteboard,box-desk"
scene0505_00-box-5-33-38-52-53-54,pick the box that is sitting on the desk against the wall with shelves and a white board ,"desk-wall,box-desk,desk-shelf,desk-blackboard"
scene0505_00-box-5-33-38-52-53-54,facing the door  the only box that is on the right wall ,box-wall
scene0505_00-box-5-33-38-52-53-54,box by itself on desk in the corner of the room ,"desk-bed,box-desk"
scene0072_00-pillow-5-7-6-14-25-26,lower of 2 smaller pillows in the middle of the 5 ,"person-armchair,pillow-centerpiece"
scene0072_00-pillow-5-7-6-14-25-26,standing in the middle of the room looking at all the pillows  its the pillow in the middle stack on the bottom,"pillow-floor,pillow-air hockey table,pillow-pillow"
scene0072_00-pillow-5-7-6-14-25-26,facing into the room with the room door on the right hand side  choose the bottom pillow in the middle ,"desk-door,pillow-bed"
scene0072_00-pillow-5-7-6-14-25-26,the blue pillow on the stool,pillow-stool
scene0154_00-cart-5-4-2-3-11-12,cart immediately right of blue cart and perpendicular to it ,cart-cart
scene0154_00-cart-5-4-2-3-11-12,choose the cart that is to the right of the blue cart ,cart-cart
scene0154_00-cart-5-4-2-3-11-12,the black cart next to the only blue cart ,cart-cart
scene0154_00-cart-5-4-2-3-11-12,the black cart next to the blue cart,cart-cart
scene0211_00-box-6-18-19-20-21-29-38,choose the small box that is on top of the bookshelf that is not on the same wall as the clock ,"bookshelf-clock,box-bookshelf"
scene0211_00-box-6-18-19-20-21-29-38,select the box on top of the dark black bookcase that is next to the chalk board,"box-bookshelf,bookshelf-blackboard"
scene0211_00-box-6-18-19-20-21-29-38,highest box by itself  on dark shelf unit ,air hockey table-shelf
scene0211_00-box-6-18-19-20-21-29-38,the box that is on top of the bookshelf ,box-bookshelf
scene0189_00-office_chair-6-18-16-17-19-20-21,the chair closest to the white board on the red wall (not the one in the corner),"chair-wall,chair-blackboard"
scene0189_00-office_chair-6-18-16-17-19-20-21,the office chairs are closest to the white boards  the option is the one closest to the whiteboard itself not on the wall,"chair-whiteboard,chair-airplane,airplane-whiteboard"
scene0189_00-office_chair-6-18-16-17-19-20-21,facing wall with these chairs  it is at the left table  far left and angled ,"chair-table,chair-wall"
scene0189_00-office_chair-6-18-16-17-19-20-21,with the red wall on our left  pick the chair that is closest to the red wall  but not in the corner,chair-wall
scene0413_00-towel-4-31-28-29-32,hanging colored towel  closest to toilet but not above toilet ,towel-toilet
scene0413_00-towel-4-31-28-29-32,looking down the length of the room with the sink on the right  choose the towel hanging on the left of the other towel ,"towel-sink,towel-towel"
scene0413_00-towel-4-31-28-29-32,select the left hand towel on the rack that is not over the toilet and next to shower ,"rack-toilet,towel-rack,towel-shower"
scene0413_00-towel-4-31-28-29-32,please select the towel closest to the toilet  past the door,"towel-toilet,towel-door"
scene0020_00-bookshelf-3-13-14-27,facing the windows  the bookshelf is on the far left ,bookshelf-window
scene0020_00-bookshelf-3-13-14-27,narrowest shelf  directly on wall,cup-wall
scene0020_00-bookshelf-3-13-14-27,when facing the windows  it is the bookshelf on the left ,"bookshelf-window,bookshelf-airplane"
scene0020_00-bookshelf-3-13-14-27,select the slim bookcase against the wall next to the door ,"bookshelf-wall,bookshelf-door"
scene0619_00-box-4-14-15-18-19,the box has a newspaper on top and a backpack next to it,"box-backpack,box-magazine"
scene0619_00-box-4-14-15-18-19,box between amazon brown smile box and white cabinet ,"box-box,box-cabinet"
scene0619_00-box-4-14-15-18-19,looking at the bookshelf full of clutter  choose the taller box on the right in front of the shelf ,"box-shelf,box-bookshelf"
scene0619_00-box-4-14-15-18-19,the tall box next to the desk,object-desk
